variable,mean,std,min,max,median
returns,0.004242484923452139,0.12240783125162125,-0.9374629259109497,5.011845111846924,0.0
prices,58.34991455078125,671.513427734375,0.0014539331896230578,14415.0703125,1.0
factor_me,35.68965530395508,499.3262634277344,0.03354963660240173,27262.47265625,13.668703079223633
factor_market_equity,35.68965530395508,499.3262634277344,0.03354963660240173,27262.47265625,13.668703079223633
factor_div12m_me,0.02800816297531128,0.012163860723376274,0.0,0.25397276878356934,0.02930590882897377
factor_chcsho_12m,0.008733678609132767,0.2234582006931305,-0.5,10.039440155029297,0.0
factor_eqnpo_12m,0.0011094196233898401,0.08247882127761841,-2.4014742374420166,2.5892930030822754,2.1510571102112408e-16
factor_ret_1_0,0.024693120270967484,0.10031864047050476,-0.8016085624694824,4.432003974914551,0.015199069865047932
factor_ret_3_1,-0.001066797412931919,0.12168076634407043,-0.9136085510253906,4.1540961265563965,-0.02008996717631817
factor_ret_6_1,0.08237778395414352,0.19480670988559723,-0.9999961256980896,8.25589370727539,0.07464057207107544
factor_ret_9_1,0.2569924592971802,0.3268325626850128,-0.9999961256980896,9.099886894226074,0.2066543847322464
factor_ret_12_1,0.41576439142227173,0.6933357119560242,-0.9999961256980896,7.082125663757324,0.18671010434627533
factor_ret_12_7,0.3060283958911896,0.6249948740005493,-0.6867308616638184,3.9171040058135986,0.13707594573497772
factor_ret_60_12,-0.41100773215293884,0.32123762369155884,-0.9888657927513123,10.078558921813965,-0.3846610486507416
factor_seas_1_1an,0.010645258240401745,0.1823452115058899,-0.9061821699142456,1.5101631879806519,-0.03628503158688545
factor_seas_1_1na,0.047731850296258926,0.02674200013279915,-0.11782640218734741,0.37397855520248413,0.044509295374155045
factor_seas_2_5an,0.019529929384589195,0.027310626581311226,-0.30137965083122253,0.6738629341125488,0.015787288546562195
factor_seas_2_5na,-0.004002056550234556,0.007780776359140873,-0.05689992010593414,0.15708674490451813,-0.002721813041716814
factor_seas_6_10an,-0.0011703730560839176,0.016035638749599457,-0.13904286921024323,0.3142663836479187,-0.00033488209010101855
factor_seas_6_10na,0.02088869735598564,0.010812959633767605,-0.023448478430509567,0.22135184705257416,0.021961627528071404
factor_seas_11_15an,0.049139514565467834,0.049374718219041824,-0.043342769145965576,0.5237859487533569,0.048680029809474945
factor_seas_11_15na,0.009223120287060738,0.021795349195599556,-0.01695389114320278,0.07498832046985626,0.0
factor_seas_16_20an,0.004812849219888449,0.04176461324095726,-0.08743425458669662,0.12617121636867523,0.0
factor_seas_16_20na,0.0008580430876463652,0.006923631299287081,-0.022525347769260406,0.030770279467105865,0.0
factor_at_gr1,-0.030030755326151848,0.24959920346736908,-0.9499561190605164,15.644983291625977,-0.029078463092446327
factor_sale_gr1,-0.07234165072441101,1.6089030504226685,-1.0,114.71208190917969,-0.11951810866594315
factor_capx_gr1,-0.18078020215034485,0.6842504739761353,-1.5174089670181274,40.9102897644043,-0.19787286221981049
factor_inv_gr1,-0.12135038524866104,0.2567597031593323,-1.0,12.942634582519531,-0.13729839026927948
factor_debt_gr3,1.7634799480438232,58.961700439453125,-1.0,3234.095703125,0.19272273778915405
factor_sale_gr3,0.2018459290266037,0.45251721143722534,-1.0,23.927339553833008,0.22251299023628235
factor_capx_gr3,0.3003166913986206,5.005148887634277,-7.490262508392334,223.51914978027344,-0.06274285167455673
factor_inv_gr1a,-0.0023506314028054476,0.03335263207554817,-2.152419328689575,0.405192106962204,0.0
factor_lti_gr1a,4.663098934543086e-06,0.02789577841758728,-1.249682068824768,0.828807532787323,0.0
factor_sti_gr1a,0.0005205924971960485,0.02268902398645878,-0.9401655197143555,0.5453899502754211,0.0
factor_coa_gr1a,-0.017295753583312035,0.07125352323055267,-4.289000988006592,0.8887158036231995,-0.011559566482901573
factor_col_gr1a,-0.010543744079768658,0.1477186232805252,-9.598923683166504,0.737327516078949,-0.0008437331416644156
factor_cowc_gr1a,-0.006539503578096628,0.13017356395721436,-1.0034198760986328,8.80814266204834,-0.007200618274509907
factor_ncoa_gr1a,-0.010895860381424427,0.2030031830072403,-14.153470039367676,0.7463595867156982,-0.006009457632899284
factor_ncol_gr1a,-0.001086314325220883,0.01029995921999216,-0.2915817201137543,0.23545674979686737,0.0
factor_nncoa_gr1a,-0.016813138499855995,0.1251775473356247,-5.344409942626953,0.5379316210746765,-0.018603065982460976
factor_fnl_gr1a,-0.012768080458045006,0.059794556349515915,-2.2637650966644287,0.6415234208106995,0.0
factor_nfna_gr1a,0.01177244447171688,0.06678785383701324,-1.4342437982559204,2.2637650966644287,0.0
factor_tax_gr1a,-0.0008512427448295057,0.01833898015320301,-1.1234116554260254,0.22917334735393524,-0.00018471978546585888
factor_be_gr1a,-0.026513034477829933,0.27430468797683716,-19.001693725585938,0.504206120967865,-0.019925853237509727
factor_ebit_sale,-0.0867229476571083,7.925830841064453,-536.6099243164062,0.9660975337028503,0.05002020299434662
factor_gp_at,0.17872627079486847,0.14323225617408752,-6.104536533355713,3.617647171020508,0.2088698446750641
factor_cop_at,0.10914845019578934,0.17789320647716522,-9.185983657836914,5.211726188659668,0.10504768043756485
factor_ope_be,0.052323270589113235,1.2538670301437378,-92.02325439453125,3.599696397781372,0.07034990936517715
factor_ni_be,-0.018460718914866447,1.2532775402069092,-79.18128967285156,4.112760066986084,0.015237370505928993
factor_ebit_bev,0.03695502504706383,0.3949146568775177,-24.556962966918945,6.0977630615234375,0.04203193634748459
factor_netis_at,0.07602524012327194,0.14145483076572418,-1.3639640808105469,3.529005527496338,0.0518878698348999
factor_eqnetis_at,0.03771037235856056,0.10014598071575165,-0.1898234486579895,3.6643645763397217,0.00028880866011604667
factor_dbnetis_at,-0.013874930329620838,0.06457501649856567,-2.2637650966644287,1.3685957193374634,0.0
factor_oaccruals_at,-0.06341595202684402,0.23390251398086548,-13.041703224182129,8.391865730285645,-0.07138489931821823
factor_oaccruals_ni,-0.9888021945953369,8.792203903198242,-570.7197265625,263.97222900390625,-0.7872430682182312
factor_taccruals_at,-0.05769231170415878,0.18406303226947784,-6.979303359985352,8.391865730285645,-0.05739628151059151
factor_taccruals_ni,-0.7794191241264343,16.0533390045166,-376.4967956542969,1067.77392578125,-0.7369508743286133
factor_noa_at,0.4854496121406555,0.2524615526199341,-10.925834655761719,1.5463060140609741,0.5289120078086853
factor_opex_at,0.729845404624939,0.34574180841445923,0.0,7.300788879394531,0.7553452849388123
factor_at_turnover,0.5286620855331421,0.28733009099960327,0.0,6.388949871063232,0.4706989824771881
factor_sale_bev,1.0460141897201538,3.035202980041504,0.0,168.39999389648438,0.918727695941925
factor_rd_sale,20.5754451751709,64.89361572265625,0.0,225.77777099609375,0.01953781768679619
factor_cash_at,0.10156942158937454,0.08509480953216553,0.0,0.9990601539611816,0.0758708193898201
factor_sale_emp_gr1,-0.08461342751979828,0.1534770131111145,-0.8110015988349915,1.263088583946228,-0.14099955558776855
factor_emp_gr1,0.06014717370271683,0.12256503105163574,-1.2083333730697632,1.076923131942749,0.023338407278060913
factor_ni_inc8q,0.18036364018917084,0.5975829362869263,0.0,8.0,0.0
factor_noa_gr1a,-0.026183849200606346,0.09180836379528046,-2.957340955734253,3.8967459201812744,-0.02716802805662155
factor_ppeinv_gr1a,-0.012625029310584068,0.047619789838790894,-1.2952438592910767,1.3018710613250732,-0.004792265128344297
factor_lnoa_gr1a,-0.0172499418258667,0.04186924919486046,-0.6053635478019714,0.5144802927970886,-0.004360320046544075
factor_capx_gr2,-0.07077872008085251,1.1386723518371582,-4.004937648773193,52.70600891113281,-0.13630430400371552
factor_saleq_gr1,-0.07648207992315292,0.4469347894191742,-1.788816213607788,31.123403549194336,-0.08634138852357864
factor_niq_be,0.01675126515328884,0.052229639142751694,-2.26735520362854,0.44193506240844727,0.01625664159655571
factor_niq_at,0.006907326634973288,0.02482355758547783,-1.355044960975647,0.16111920773983002,0.006468350999057293
factor_niq_be_chg1,0.015975095331668854,0.06344673037528992,-2.102592945098877,0.3316018879413605,0.0014722159830853343
factor_niq_at_chg1,0.008257078938186169,0.032632771879434586,-0.3418285548686981,1.6754182577133179,0.001502511091530323
factor_rd5_at,0.4329233765602112,0.8944903016090393,0.0,3.159914493560791,0.06781617552042007
factor_dsale_dinv,-0.018973426893353462,0.19514982402324677,-2.8368401527404785,8.983406066894531,-0.047447193413972855
factor_dsale_drec,-0.003314987290650606,0.47545376420021057,-5.435242176055908,31.51013946533203,0.03357645124197006
factor_dgp_dsale,-0.010499254800379276,0.39541536569595337,-22.690719604492188,13.540250778198242,-0.004291613586246967
factor_dsale_dsga,-0.0185832716524601,0.44520303606987,-3.1457180976867676,31.381790161132812,-0.0036068137269467115
factor_saleq_su,-0.16451610624790192,0.3459959328174591,-3.1290411949157715,5.831203937530518,-0.04096315801143646
factor_niq_su,0.29801273345947266,0.46064871549606323,-9.852627754211426,4.730892658233643,0.33626148104667664
factor_capex_abn,-0.11340656131505966,0.3236015737056732,-3.073397636413574,10.733856201171875,-0.12223158031702042
factor_op_atl1,0.04405411705374718,0.08781962096691132,-3.3382039070129395,0.9026687145233154,0.04171563312411308
factor_gp_atl1,0.18845398724079132,0.10201700031757355,-1.3496387004852295,2.107469320297241,0.21766789257526398
factor_ope_bel1,0.08572890609502792,0.09982240945100784,-1.5630154609680176,3.688422918319702,0.07650672644376755
factor_cop_atl1,0.10932845622301102,0.10239740461111069,-4.265492916107178,0.7475648522377014,0.1318119615316391
factor_pi_nix,1.302660584449768,0.20478284358978271,0.05714285746216774,9.860215187072754,1.3178412914276123
factor_ocf_at,0.021741138771176338,0.23923762142658234,-14.833333015441895,0.4426124095916748,0.03161400184035301
factor_op_at,0.03510548546910286,0.2571337819099426,-15.396825790405273,0.9968587756156921,0.03914090618491173
factor_ocf_at_chg1,-0.006598217878490686,0.22497643530368805,-14.010074615478516,2.261540412902832,-0.0037581564392894506
factor_at_be,2.238316535949707,1.3622275590896606,1.0,49.48768997192383,1.9585328102111816
factor_ocfq_saleq_std,0.5372517108917236,11.62865924835205,0.0,511.6482849121094,0.15153129398822784
factor_tangibility,0.6213284730911255,0.21657179296016693,0.0,1.9292768239974976,0.7011528611183167
factor_earnings_variability,0.8950394988059998,0.20408882200717926,0.005107922479510307,5.1314897537231445,0.9649912714958191
factor_aliq_at,0.5508148670196533,0.29102951288223267,0.0,16.50346565246582,0.5846803784370422
factor_f_score,4.589454650878906,1.4904232025146484,0.0,9.0,5.0
factor_o_score,-1.1673296689987183,2.9574272632598877,-157.8420867919922,81.09410095214844,-1.1233690977096558
factor_z_score,2.1068496704101562,4.972446441650391,-69.70262145996094,230.77853393554688,2.129701614379883
factor_kz_index,-1.5031495094299316,6.805727958679199,-342.5356750488281,23.399850845336914,-0.7318108677864075
factor_ni_ar1,0.06535794585943222,0.22050034999847412,-3.1641993522644043,2.7584617137908936,0.1283765584230423
factor_ni_ivol,0.044735174626111984,0.06121193617582321,0.00037071784026920795,3.6407363414764404,0.039017658680677414
factor_at_me,2.400320291519165,2.669424057006836,0.0,110.79370880126953,2.1187288761138916
factor_be_me,1.0214052200317383,0.5198277235031128,0.00274516548961401,15.781974792480469,0.9727460741996765
factor_debt_me,0.4382050037384033,0.9915103912353516,0.0,38.369930267333984,0.2873760759830475
factor_netdebt_me,0.2527543306350708,0.9898326992988586,-6.624008655548096,38.30807113647461,0.11860819160938263
factor_sale_me,1.068426489830017,1.0468889474868774,0.0,39.161190032958984,1.0232949256896973
factor_ni_me,-0.03227633982896805,0.26231375336647034,-9.261197090148926,3.275351047515869,0.010524122975766659
factor_ocf_me,0.024600012227892876,0.24944408237934113,-8.653030395507812,5.387993335723877,0.06743884086608887
factor_fcf_me,0.033195074647665024,0.14586447179317474,-6.515141010284424,3.1779260635375977,0.022633513435721397
factor_eqpo_me,0.020897269248962402,0.02551654726266861,0.0,0.7556822299957275,0.013789312914013863
factor_eqnpo_me,0.007271140348166227,0.0325782373547554,-0.2614627778530121,0.7556822299957275,0.01015031524002552
factor_rd_me,0.07159561663866043,0.083903968334198,0.0,3.1999282836914062,0.03774499520659447
factor_ival_me,0.6710215210914612,0.4279363453388214,0.0,7.464459419250488,0.5262612700462341
factor_bev_mev,1.0528709888458252,0.6227170825004578,0.0030659695621579885,28.628589630126953,0.9992418885231018
factor_ebitda_mev,0.05674506351351738,0.1609272062778473,-3.3816275596618652,5.394534111022949,0.05308202654123306
factor_aliq_mat,0.6226667165756226,0.24001596868038177,0.0,2.24003005027771,0.6104987859725952
factor_eq_dur,14.263666152954102,2.196788787841797,0.3226602077484131,100.57442474365234,14.680892944335938
factor_beta_60m,0.7367882132530212,0.35130396485328674,-1.1540902853012085,4.215235233306885,0.6377671957015991
factor_resff3_12_1,-0.012933642603456974,0.08672548830509186,-1.0942264795303345,1.6449031829833984,0.0
factor_resff3_6_1,-0.055398665368556976,0.205618217587471,-4.545063495635986,2.8995349407196045,-0.01195331010967493
factor_mispricing_mgmt,0.5764423608779907,0.053034648299217224,0.0438639372587204,0.9827637672424316,0.5720916986465454
factor_mispricing_perf,0.4826413691043854,0.14044232666492462,0.0011855365009978414,1.0,0.4516128897666931
factor_betabab_1260d,0.8668994903564453,0.43559449911117554,0.0,1.6039847135543823,1.0320581197738647
factor_rmax5_rvol_21d,0.0,0.0,0.0,0.0,0.0
factor_age,304.96435546875,43.76860046386719,1.0,313.0,313.0
factor_qmj,-0.2184455543756485,0.6282290816307068,-1.6934716701507568,1.727060079574585,-0.07784552872180939
factor_qmj_prof,-0.2547382712364197,0.5969278812408447,-1.7305750846862793,1.7187741994857788,-0.2308582216501236
factor_qmj_growth,-0.16973955929279327,0.5553926825523376,-1.7160543203353882,1.7236019372940063,0.022124027833342552
factor_qmj_safety,-0.3191625773906708,0.5346033573150635,-1.7184184789657593,1.7283210754394531,-0.2284161001443863
factor_enterprise_value,55.59438705444336,595.322265625,0.2576853930950165,32552.47265625,26.001523971557617
factor_book_equity,32.846405029296875,252.63758850097656,0.026217162609100342,16211.0,20.692825317382812
factor_assets,86.23886108398438,777.0601806640625,0.0,41898.453125,41.67835235595703
factor_sales,33.168087005615234,358.3193054199219,0.0,20172.0,17.68407440185547
factor_net_income,0.9795300364494324,30.918399810791016,-494.9754943847656,1838.0,0.10513200610876083
factor_div1m_me,0.005934223532676697,0.01067217905074358,0.0,0.03640861064195633,0.0
factor_div3m_me,0.019265569746494293,0.014042779803276062,0.0,0.071586012840271,0.021132079884409904
factor_div6m_me,0.023104984313249588,0.011058373376727104,0.0,0.13230176270008087,0.025909215211868286
factor_divspc1m_me,0.0011814347235485911,0.002513354644179344,0.0,0.013333333656191826,0.0
factor_divspc12m_me,6.388032488757744e-05,0.0017995188245549798,0.0,0.07802996784448624,0.0
factor_chcsho_1m,0.0019815678242594004,0.12205081433057785,-0.025818081572651863,9.0,0.0
factor_chcsho_3m,0.0029751278925687075,0.13418129086494446,-0.35182085633277893,9.0,0.0
factor_chcsho_6m,0.004342139698565006,0.14425724744796753,-0.15384049713611603,9.0,0.0
factor_eqnpo_1m,-0.00043359462870284915,0.03600327670574188,-2.3025851249694824,1.0808712244033813,0.0
factor_eqnpo_3m,-0.0004980932571925223,0.0485522598028183,-2.3025851249694824,1.7461345195770264,0.0
factor_eqnpo_6m,-0.0013472888385877013,0.05736945942044258,-2.3025851249694824,2.0305209159851074,0.0
factor_ret_2_0,0.006505355704575777,0.14641925692558289,-0.9285719990730286,6.840878009796143,-0.0024270799476653337
factor_ret_3_0,0.01741565763950348,0.14350008964538574,-0.9285719990730286,6.487346172332764,0.013843104243278503
factor_ret_6_0,0.09145750850439072,0.2000277042388916,-0.9999957084655762,8.686283111572266,0.058692485094070435
factor_ret_9_0,0.25940385460853577,0.3066222071647644,-0.9999957084655762,8.686283111572266,0.19961726665496826
factor_ret_12_0,0.4554547369480133,0.8111951351165771,-0.9999957084655762,7.082125663757324,0.19437359273433685
factor_ret_18_1,-0.29976165294647217,0.17410355806350708,-0.9826003909111023,3.3420913219451904,-0.2818087935447693
factor_ret_24_1,-0.39698055386543274,0.2813400328159332,-0.9966418147087097,6.277536392211914,-0.3774736821651459
factor_ret_24_12,-0.5134176015853882,0.20351506769657135,-0.9864113330841064,5.026615619659424,-0.5111107230186462
factor_ret_36_1,-0.36048367619514465,1.1452850103378296,-0.9804449081420898,82.0610122680664,-0.3012538254261017
factor_ret_36_12,-0.47882136702537537,0.5050508379936218,-0.9830896258354187,33.91093063354492,-0.4523794651031494
factor_ret_48_12,-0.3809157609939575,0.2661067247390747,-0.9933128952980042,6.294665813446045,-0.32506263256073
factor_ret_48_1,-0.1920974999666214,0.4970110058784485,-0.9922670125961304,16.355663299560547,-0.11463562399148941
factor_ret_60_1,0.49943578243255615,41.0201530456543,-0.9877651333808899,3041.833984375,-0.09284459799528122
factor_ret_60_36,0.26910534501075745,0.9054961800575256,-0.9711806178092957,42.866127014160156,0.25776779651641846
factor_ca_gr1,-0.04976581409573555,0.285752534866333,-0.9975442886352539,18.706411361694336,-0.04738180711865425
factor_nca_gr1,0.11356525123119354,8.631936073303223,-0.9862611889839172,635.4873046875,-0.04094291105866432
factor_lt_gr1,0.00941359344869852,1.6999448537826538,-0.9895881414413452,113.76901245117188,-0.05655043572187424
factor_cl_gr1,-0.018578926101326942,0.4456035792827606,-0.9899194836616516,20.446640014648438,-0.01440597977489233
factor_ncl_gr1,0.7120526432991028,52.64480209350586,-1.6770471334457397,3882.284423828125,-0.08967691659927368
factor_be_gr1,-0.04204162210226059,0.11226139217615128,-0.9878234267234802,3.581024408340454,-0.04168994352221489
factor_pstk_gr1,1.6596230268478394,5.298016548156738,-0.15735822916030884,18.41280746459961,0.0
factor_debt_gr1,0.05698032304644585,7.8192009925842285,-1.0,560.2255859375,-0.07506823539733887
factor_cogs_gr1,-0.10865878313779831,0.3515714704990387,-1.0071310997009277,24.516183853149414,-0.12140173465013504
factor_sga_gr1,-0.0790424570441246,0.09548082947731018,-1.0,1.4163459539413452,-0.06669189780950546
factor_opex_gr1,-0.11805368959903717,0.14148972928524017,-0.960355818271637,7.942897319793701,-0.1256113350391388
factor_at_gr3,0.2538694441318512,0.33414292335510254,-1.0,11.180734634399414,0.21526595950126648
factor_ca_gr3,0.12852691113948822,0.32267317175865173,-1.0,11.831920623779297,0.16026294231414795
factor_nca_gr3,0.2662673890590668,0.8011394739151001,-1.0,45.72493362426758,0.22027984261512756
factor_lt_gr3,0.35619762539863586,1.5495411157608032,-1.0,91.29669952392578,0.3118642568588257
factor_cl_gr3,0.32223251461982727,1.1801552772521973,-1.0,80.87879180908203,0.29611021280288696
factor_ncl_gr3,127.32220458984375,9415.4033203125,-1.0003498792648315,698328.625,0.1028493270277977
factor_be_gr3,0.23750616610050201,0.7983606457710266,-0.9913566708564758,27.785263061523438,0.19322311878204346
factor_pstk_gr3,-0.04328599199652672,0.3132499158382416,-1.0,1.523664951324463,0.0
factor_cogs_gr3,0.23151935636997223,2.9002537727355957,-1.014143466949463,205.57919311523438,0.16238588094711304
factor_sga_gr3,0.19194510579109192,0.61156165599823,-1.0,37.36695098876953,0.18169273436069489
factor_opex_gr3,0.17169839143753052,0.5484529733657837,-0.999663233757019,29.72947883605957,0.1776498407125473
factor_cash_gr1a,0.00024086414487101138,0.07508493214845657,-4.593932628631592,0.9347134232521057,0.0028785422910004854
factor_rec_gr1a,-0.007502976804971695,0.04008862003684044,-2.1360886096954346,0.693137526512146,-0.005772455595433712
factor_ppeg_gr1a,-0.0039076851680874825,0.08250154554843903,-5.18906307220459,0.8043467998504639,-0.0026915231719613075
factor_intan_gr1a,-0.0006064253975637257,0.02293148823082447,-1.2936614751815796,0.3206484317779541,0.0
factor_debtst_gr1a,-0.018810728564858437,0.07318534702062607,-2.2637650966644287,0.6186330318450928,0.0
factor_ap_gr1a,-0.005136493127793074,0.02428935468196869,-0.7342569231987,0.7229907512664795,-0.0018941223388537765
